Country Name,Indicator Name,Year,Value
United States,National savings (% GDP),1980,22.059
United States,Unemployment levels (%),1980,7.175
United States,"Inflation (CPI, %))",1980,86.75
Germany,Unemployment levels (%),1980,3.359
Germany,"Inflation (CPI, %))",1980,
Denmark,"Inflation (CPI, %))",1980,37.754
Denmark,Unemployment levels (%),1980,5.177
Denmark,National savings (% GDP),1980,19.588
Germany,National savings (% GDP),1980,21.462
Japan,"Inflation (CPI, %))",1980,74.783
Japan,National savings (% GDP),1980,29.655
Japan,Unemployment levels (%),1980,2.017
South Africa,"Inflation (CPI, %))",1980,3.3
South Africa,Unemployment levels (%),1980,9.241
South Africa,National savings (% GDP),1980,33.361
Costa Rica,National savings (% GDP),1980,12.784
Chile,Unemployment levels (%),1980,11.502
Costa Rica,Unemployment levels (%),1980,5.921
Costa Rica,"Inflation (CPI, %))",1980,0.77
Chile,"Inflation (CPI, %))",1980,4.039
Chile,National savings (% GDP),1980,12.366
Ghana,"Inflation (CPI, %))",1980,0.076
Ghana,National savings (% GDP),1980,
United States,National savings (% GDP),1981,23.206
United States,Unemployment levels (%),1981,7.617
United States,"Inflation (CPI, %))",1981,94.183
Germany,Unemployment levels (%),1981,4.831
Germany,"Inflation (CPI, %))",1981,
Denmark,"Inflation (CPI, %))",1981,42.435
Denmark,Unemployment levels (%),1981,6.98
Denmark,National savings (% GDP),1981,16.357
Germany,National savings (% GDP),1981,20.081
Japan,"Inflation (CPI, %))",1981,77.807
Japan,National savings (% GDP),1981,30.161
Japan,Unemployment levels (%),1981,2.208
South Africa,"Inflation (CPI, %))",1981,3.7
South Africa,Unemployment levels (%),1981,9.824
South Africa,National savings (% GDP),1981,26.383
Costa Rica,National savings (% GDP),1981,12.957
Chile,Unemployment levels (%),1981,10.291
Costa Rica,Unemployment levels (%),1981,8.766
Costa Rica,"Inflation (CPI, %))",1981,1.27
Chile,"Inflation (CPI, %))",1981,4.49
Chile,National savings (% GDP),1981,7.87
Ghana,"Inflation (CPI, %))",1981,0.153
Ghana,National savings (% GDP),1981,
United States,National savings (% GDP),1982,21.713
United States,Unemployment levels (%),1982,9.708
United States,"Inflation (CPI, %))",1982,97.967
Germany,Unemployment levels (%),1982,6.734
Germany,"Inflation (CPI, %))",1982,
Denmark,"Inflation (CPI, %))",1982,46.179
Denmark,Unemployment levels (%),1982,7.466
Denmark,National savings (% GDP),1982,17.476
Germany,National savings (% GDP),1982,20.066
Japan,"Inflation (CPI, %))",1982,79.704
Japan,National savings (% GDP),1982,29.086
Japan,Unemployment levels (%),1982,2.35
South Africa,"Inflation (CPI, %))",1982,4.1
South Africa,Unemployment levels (%),1982,10.755
South Africa,National savings (% GDP),1982,20.834
Costa Rica,National savings (% GDP),1982,15.406
Chile,Unemployment levels (%),1982,19.814
Costa Rica,Unemployment levels (%),1982,9.405
Costa Rica,"Inflation (CPI, %))",1982,2.32
Chile,"Inflation (CPI, %))",1982,5.419
Chile,National savings (% GDP),1982,1.467
Ghana,"Inflation (CPI, %))",1982,0.178
Ghana,National savings (% GDP),1982,
United States,National savings (% GDP),1983,19.725
United States,Unemployment levels (%),1983,9.6
United States,"Inflation (CPI, %))",1983,101.817
Germany,Unemployment levels (%),1983,8.099
Germany,"Inflation (CPI, %))",1983,
Denmark,"Inflation (CPI, %))",1983,48.987
Denmark,Unemployment levels (%),1983,8.375
Denmark,National savings (% GDP),1983,17.511
Germany,National savings (% GDP),1983,21.012
Japan,"Inflation (CPI, %))",1983,81.017
Japan,National savings (% GDP),1983,28.231
Japan,Unemployment levels (%),1983,2.658
South Africa,"Inflation (CPI, %))",1983,4.7
South Africa,Unemployment levels (%),1983,12.543
South Africa,National savings (% GDP),1983,24.845
Costa Rica,National savings (% GDP),1983,13.447
Chile,Unemployment levels (%),1983,20.999
Costa Rica,Unemployment levels (%),1983,9.231
Costa Rica,"Inflation (CPI, %))",1983,2.56
Chile,"Inflation (CPI, %))",1983,6.688
Chile,National savings (% GDP),1983,4.082
Ghana,"Inflation (CPI, %))",1983,0.432
Ghana,National savings (% GDP),1983,3.924
United States,National savings (% GDP),1984,21.839
United States,Unemployment levels (%),1984,7.508
United States,"Inflation (CPI, %))",1984,105.783
Germany,Unemployment levels (%),1984,8.058
Germany,"Inflation (CPI, %))",1984,
Denmark,"Inflation (CPI, %))",1984,51.795
